2026-04-09T13:10:40 | DEBUG    | src.cv_models.emotion_detection:221 | Emotion: Neutral (conf=0.82)
2026-04-09T13:10:40 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.792  smoothed=0.831
2026-04-09T13:10:40 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=167.0°  lean=7.1°
2026-04-09T13:10:40 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:40 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.834  smoothed=0.831
2026-04-09T13:10:40 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=168.1°  lean=4.9°
2026-04-09T13:10:40 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:40 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.568  smoothed=0.794
2026-04-09T13:10:40 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=166.4°  lean=2.5°
2026-04-09T13:10:40 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:40 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.579  smoothed=0.767
2026-04-09T13:10:40 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=165.0°  lean=0.4°
2026-04-09T13:10:40 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:40 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.584  smoothed=0.747
2026-04-09T13:10:40 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=164.3°  lean=1.5°
2026-04-09T13:10:40 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:40 | DEBUG    | src.cv_models.emotion_detection:262 | Blendshapes — happy=0.00 sad=0.00 angry=0.02 surprise=0.00
2026-04-09T13:10:40 | DEBUG    | src.cv_models.emotion_detection:221 | Emotion: Neutral (conf=0.81)
2026-04-09T13:10:40 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.675  smoothed=0.740
2026-04-09T13:10:40 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=163.9°  lean=2.3°
2026-04-09T13:10:40 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:40 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.626  smoothed=0.729
2026-04-09T13:10:40 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=162.9°  lean=2.5°
2026-04-09T13:10:40 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:40 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.642  smoothed=0.722
2026-04-09T13:10:40 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=163.1°  lean=4.1°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.669  smoothed=0.705
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=163.4°  lean=4.9°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.623  smoothed=0.687
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=164.9°  lean=5.1°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.emotion_detection:262 | Blendshapes — happy=0.00 sad=0.00 angry=0.05 surprise=0.00
2026-04-09T13:10:41 | DEBUG    | src.cv_models.emotion_detection:221 | Emotion: Neutral (conf=0.75)
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.635  smoothed=0.674
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=164.9°  lean=5.8°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.606  smoothed=0.653
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=165.1°  lean=5.9°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.612  smoothed=0.638
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=164.9°  lean=6.3°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.641  smoothed=0.622
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=165.3°  lean=5.5°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.626  smoothed=0.627
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=164.3°  lean=6.2°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.emotion_detection:262 | Blendshapes — happy=0.00 sad=0.00 angry=0.03 surprise=0.00
2026-04-09T13:10:41 | DEBUG    | src.cv_models.emotion_detection:221 | Emotion: Neutral (conf=0.78)
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.602  smoothed=0.628
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=166.2°  lean=5.3°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.652  smoothed=0.634
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=164.8°  lean=6.4°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.660  smoothed=0.633
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=164.5°  lean=6.0°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.669  smoothed=0.636
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=164.2°  lean=6.4°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.688  smoothed=0.640
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=165.4°  lean=6.9°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.emotion_detection:262 | Blendshapes — happy=0.00 sad=0.00 angry=0.05 surprise=0.00
2026-04-09T13:10:41 | DEBUG    | src.cv_models.emotion_detection:221 | Emotion: Neutral (conf=0.75)
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.693  smoothed=0.642
2026-04-09T13:10:41 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=165.1°  lean=6.6°
2026-04-09T13:10:41 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:41 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.676  smoothed=0.647
2026-04-09T13:10:42 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=164.0°  lean=6.8°
2026-04-09T13:10:42 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:42 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.671  smoothed=0.650
2026-04-09T13:10:42 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=166.0°  lean=5.9°
2026-04-09T13:10:42 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:42 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.662  smoothed=0.654
2026-04-09T13:10:42 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=165.8°  lean=6.1°
2026-04-09T13:10:42 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:42 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.642  smoothed=0.657
2026-04-09T13:10:42 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=166.1°  lean=6.9°
2026-04-09T13:10:42 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:42 | DEBUG    | src.cv_models.emotion_detection:262 | Blendshapes — happy=0.00 sad=0.00 angry=0.05 surprise=0.00
2026-04-09T13:10:42 | DEBUG    | src.cv_models.emotion_detection:221 | Emotion: Neutral (conf=0.76)
2026-04-09T13:10:42 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.608  smoothed=0.654
2026-04-09T13:10:42 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=166.1°  lean=7.2°
2026-04-09T13:10:42 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:42 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.593  smoothed=0.651
2026-04-09T13:10:42 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=165.6°  lean=8.4°
2026-04-09T13:10:42 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:42 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.572  smoothed=0.649
2026-04-09T13:10:42 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=165.3°  lean=8.3°
2026-04-09T13:10:42 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:42 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.598  smoothed=0.644
2026-04-09T13:10:42 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=165.0°  lean=8.9°
2026-04-09T13:10:42 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T13:10:42 | DEBUG    | src.cv_models.eye_contact:198 | Eye contact raw=0.597  smoothed=0.639
2026-04-09T13:10:42 | DEBUG    | src.cv_models.posture_detection:235 | Posture: Leaning  tilt=166.7°  lean=7.8°
2026-04-09T13:10:42 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
